session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,First Language,Nationality,Employment Status,Country of Birth,Sex,Current Country of Residence,Student Status
5e4d101f0f11d2156c342104,5ce456ea65535c0019185cd6,AWAITING REVIEW,2020-02-19 10:38:39.507000,2020-02-19 11:26:13.975000,2854.468,20,33,0,100,,22D2E5F5,English,United Kingdom,Full-Time,United Kingdom,Female,United Kingdom,No
5e4d11fb90448a15a2831bdb,5999aa3805a0e30001f1ffa6,RETURNED,2020-02-19 10:46:21.300000,,9751.712449,31,174,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d12e055eaed15cff1e579,5d92674f30a9a700130bdd3d,RETURNED,2020-02-19 10:50:17.424000,,9515.588578,26,55,3,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d135a3c130f15ef01f7c6,5ca3ab263c73ca00165e1f47,AWAITING REVIEW,2020-02-19 10:52:12.406000,2020-02-19 12:01:51.024000,4178.618,20,88,0,100,,22D2E5F5,English,Malaysia,Unemployed (and job seeking),Malaysia,Male,United Kingdom,Yes
5e4d13661a0a6215ac9467f6,5b28d18b007d870001c80b4b,AWAITING REVIEW,2020-02-19 10:52:30.340000,2020-02-19 12:22:08.834000,5378.494,28,79,0,100,,22D2E5F5,English,United Kingdom,Full-Time,United Kingdom,Female,United Kingdom,No
5e4d137331eaab156737866b,5c997cc62d223d0001a20d2d,RETURNED,2020-02-19 10:52:38.905000,,9374.179637,20,13,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d13d3a971e8153ad1c14b,5d53ec22cb1bcf0015f59a65,AWAITING REVIEW,2020-02-19 10:54:13.443000,2020-02-19 11:57:10.216000,3776.773,24,22,0,100,,22D2E5F5,English,United Kingdom,Full-Time,United Kingdom,Female,United Kingdom,No
5e4d13f3ee0d45000dc041ea,5ca29ee193d3840001f6499a,RETURNED,2020-02-19 10:54:46.702000,,9246.412188,34,80,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d145ae48221162ca516b5,5c6aa1774b5bb30001b3d699,RETURNED,2020-02-19 10:56:37.481000,,9135.633264,22,45,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d14c623816a16805d6fb6,56e06fde907c12000ae3ab94,AWAITING REVIEW,2020-02-19 10:58:18.756000,2020-02-19 12:10:03.960000,4305.204,27,178,4,99,,22D2E5F5,English,United Kingdom,Part-Time,United Kingdom,Female,United Kingdom,Yes
5e4d14d6f5442115396c4cf1,5d0bff3d9599aa001a256b15,AWAITING REVIEW,2020-02-19 11:01:44.668000,2020-02-19 12:08:36.226000,4011.558,24,25,0,100,,22D2E5F5,English,United Kingdom,Due to start a new job within the next month,United Kingdom,Female,United Kingdom,Yes
5e4d151f55eaed15cff1e57d,5c8e969715fb980017623458,RETURNED,2020-02-19 11:00:08.040000,,8925.111762,23,61,3,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d1526946d0d155b035def,5d1f68a20086b20001db5686,RETURNED,2020-02-19 10:59:51.528000,,8941.623871,19,72,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d152c31eaab161cc3ca12,598afb77600a7a00018fabd7,AWAITING REVIEW,2020-02-19 11:00:02.031000,2020-02-19 11:58:22.468000,3500.437,48,423,13,96,,22D2E5F5,English,United Kingdom,Full-Time,United Kingdom,Male,United Kingdom,Yes
5e4d15338de03d1441cc8c44,5c8d54044597c00001459b8a,AWAITING REVIEW,2020-02-19 11:00:57.213000,2020-02-19 11:56:30.069000,3332.856,22,137,3,98,,22D2E5F5,English,United Kingdom,DATA EXPIRED,United Kingdom,Female,United Kingdom,No
5e4d1536f80f4814e3a4d732,5d822f75d09b690017857bd4,RETURNED,2020-02-19 11:00:08.032000,,8925.178829,34,50,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d155a9ffe1f15bfc5915a,5c7575d6f4e2ff0001d0f6f8,RETURNED,2020-02-19 11:00:45.459000,,8887.751939,40,96,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d156f53bc701556bc43eb,5cdd2cd048d5f100155fabce,AWAITING REVIEW,2020-02-19 11:01:05.780000,2020-02-19 11:50:10.613000,2944.833,23,71,1,100,,22D2E5F5,English,United Kingdom,Part-Time,United Kingdom,Female,United Kingdom,Yes
5e4d1572c925fd160a107cdf,562bc30a733ea00011162c34,RETURNED,2020-02-19 11:11:06.916000,,8266.32311,27,497,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d15ac2c9b6515b8d9539a,5dd3cb4a929d5d3b06bb4464,RETURNED,2020-02-19 11:13:00.022000,,8153.217193,26,24,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d15ae55eaed162395cca1,5c95e8ac6357fb0001ef4abb,RETURNED,2020-02-19 11:02:10.404000,,8802.83523,45,30,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d15b04fb06815df4b8021,5be48ff58e114200011a467b,AWAITING REVIEW,2020-02-19 11:08:22.585000,2020-02-19 12:13:49.292000,3926.707,34,24,0,100,,22D2E5F5,English,United Kingdom,Full-Time,United Kingdom,Male,United Kingdom,No
5e4d15b05f962e15b49aa021,5d40a2748d469d001a664291,AWAITING REVIEW,2020-02-19 11:02:12.054000,2020-02-19 11:58:32.520000,3380.466,27,33,0,100,,22D2E5F5,English,United Kingdom,Full-Time,United Kingdom,Female,United Kingdom,No
5e4d15c448e6e315d31f4113,5720da35951c9b0011d3dfe0,RETURNED,2020-02-19 11:02:33.920000,,8779.373635,60,211,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4d15e64bd71915ca1ac42f,5be9502561009a00018fd2fb,AWAITING REVIEW,2020-02-19 11:03:24.595000,2020-02-19 12:14:14.500000,4249.905,45,82,0,100,,22D2E5F5,English,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",Canada,Female,United Kingdom,No
5e4d160cbc5c541531516c97,5d78fcd59066d90001a4977a,AWAITING REVIEW,2020-02-19 11:03:43.427000,2020-02-19 11:48:26.593000,2683.166,35,16,0,100,,22D2E5F5,English,United Kingdom,Full-Time,United Kingdom,Female,United Kingdom,No
