session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f467bc244cd8d04054f761e,5ed416a5b45e9d0ca2e233f6,APPROVED,2020-08-26 15:12:40.955000,2020-08-26 16:28:09.784000,4528.829,21,25,0,100,2020-08-27 08:38:02.955000,22D2E5F5,Italy,Italy,Unemployed (and job seeking),Italian,"English, Italian",Italy,Female,Yes
5f467bc5ced688039c2c1796,5e9768cc5f33bb22590fb0aa,APPROVED,2020-08-26 15:13:10.833000,2020-08-26 16:07:16.233000,3245.4,20,50,0,100,2020-08-27 08:38:03.860000,22D2E5F5,Poland,Poland,Other,Polish,"Polish, English",Poland,Male,No
5f467be464450203ae6879cb,5ef0f11bd8a3286ab07f538f,REJECTED,2020-08-26 15:12:41.418000,2020-08-26 15:13:20.281000,38.863,20,10,2,92,2020-08-26 15:18:58.003000,NOCODE,South Africa,South Africa,Other,English,English,South Africa,Male,Yes
5f467bf38c469403f6dc5d10,5daee5d378871500151991ff,APPROVED,2020-08-26 15:12:53.072000,2020-08-26 16:26:17.720000,4404.648,31,44,1,100,2020-08-27 08:38:11.364000,22D2E5F5,"Venezuela, Bolivarian Republic of",Portugal,Full-Time,Spanish,"English, Spanish, Portuguese",Portugal,Female,No
5f467c391f2a780365f61bd0,5ba7f8f5351c52000158a55b,APPROVED,2020-08-26 15:17:39.682000,2020-08-26 16:52:53.111000,5713.429,36,223,4,98,2020-08-27 16:55:13.700000,NOCODE,United Kingdom,United Kingdom,Full-Time,English,"Slovak, English",United Kingdom,Female,No
5f467c5cf3e3b10403b8b706,5d9606b7f04d7d0015a6169a,APPROVED,2020-08-26 15:14:38.656000,2020-08-26 16:30:08.142000,4529.486,20,19,0,100,2020-08-27 08:38:13.240000,22D2E5F5,Spain,Spain,Part-Time,Spanish,"English, Spanish",Spain,Male,Yes
5f467c64262b3403c6e4e1bc,5ed307fdb265ab1797983f68,RETURNED,2020-08-26 15:24:44.859000,,494027.797879,25,12,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f467ca054014c03fbc40325,5cb450df19eba3001270131f,RETURNED,2020-08-26 15:18:13.076000,,494419.580988,24,25,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f467ca113b72d03efa3c8ad,5f027693e9d8624152933196,APPROVED,2020-08-26 15:15:48.730000,2020-08-26 16:20:09.938000,3861.208,25,20,0,100,2020-08-27 08:38:21.402000,22D2E5F5,Portugal,,Unemployed (and job seeking),Portuguese,"Portuguese, English, Spanish",Portugal,Male,Yes
5f467ce51a57c904065060a7,5e86116068b86421a020e345,RETURNED,2020-08-26 15:17:31.607000,,494461.204429,19,53,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
