session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5e4e4fd41c04262a32b7251f,5d74f215797977000195ac52,TIMED-OUT,2020-02-20 09:32:10.819000,,2449981.178706,33,136,5,96,,,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5e4e4fd5907290000f01b0ae,5c81b804b5bfcb00015aee82,APPROVED,2020-02-20 09:30:09.996000,2020-02-20 10:48:42.606000,4712.61,24,115,0,100,2020-02-20 15:26:42.715000,228C6F99,France,Portugal,Part-Time,Portuguese,"Portuguese, Spanish, English",Portugal,Female,Yes
5e4e4fd700c6fd29f5d70a02,5c545b99c3d94f00014a2149,APPROVED,2020-02-20 09:22:33.814000,2020-02-20 10:27:39.852000,3906.038,42,235,1,100,2020-02-20 15:26:44.910000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5e4e4fdc009465000a8ac596,5d6eb5efa8462f0001b05f6f,APPROVED,2020-02-20 09:25:28.624000,2020-02-20 10:15:52.636000,3024.012,26,146,2,100,2020-02-20 15:26:45.595000,228C6F99,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5e4e4fdebc5c5429711d739d,59ac162fa372d6000157ed8e,APPROVED,2020-02-20 09:22:44.086000,2020-02-20 10:27:12.207000,3868.121,60,111,1,100,2020-02-20 15:26:46.233000,228C6F99,Argentina,Italy,Full-Time,Italian,English,Italy,Male,DATA EXPIRED
5e4e4fe34e3fc3000a43f9eb,5e313956077089128744185b,APPROVED,2020-02-20 09:25:49.473000,2020-02-20 10:59:42.775000,5633.302,22,28,0,100,2020-02-20 15:26:46.988000,228C6F99,Singapore,Australia,Unemployed (and job seeking),English,"English, Malay",Australia,Female,No
5e4e4fe321e8bf000ac56987,5ddeaaf9f30aa6e2e945abba,APPROVED,2020-02-20 09:22:46.238000,2020-02-20 10:43:51.543000,4865.305,24,39,0,100,2020-02-20 15:26:47.941000,228C6F99,Greece,Greece,Unemployed (and job seeking),Greek,"English, Greek",Greece,Male,Yes
5e4e4fe39ffe1f28a38a1771,59d5f806e59146000112e79b,RETURNED,2020-02-20 09:22:45.814000,,2450546.352697,40,316,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e4fe4f4bdd829a22c0ea4,5e25b2ac26d974818086e0ee,RETURNED,2020-02-20 09:22:48.191000,,2450543.975774,33,34,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e4fe5ff7dd12a9d7e5650,5b7535d184850400011a07b8,APPROVED,2020-02-20 09:22:47.681000,2020-02-20 10:23:46.737000,3659.056,32,383,10,97,2020-02-20 15:26:48.658000,228C6F99,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5e4e4fe6757d5e292696f21b,5dae21b2232c620011d6a06e,APPROVED,2020-02-20 09:23:05.570000,2020-02-20 10:10:00.090000,2814.52,21,98,1,100,2020-02-20 15:26:48.784000,228C6F99,United Kingdom,United Kingdom,Due to start a new job within the next month,English,English,United Kingdom,Female,Yes
5e4e4fed8ceb292960fcc1ca,5e0c773013064443636d7d91,APPROVED,2020-02-20 09:27:01.246000,2020-02-20 10:27:30.968000,3629.722,45,41,0,100,2020-02-20 15:26:50.283000,228C6F99,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,No
5e4e4fedbcfb13293a5a3759,5e17956d94a2dc099b08aee2,APPROVED,2020-02-20 09:25:31.064000,2020-02-20 10:34:54.847000,4163.783,42,53,0,100,2020-02-20 15:26:51.063000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5e4e4fee5efe032a188aecac,5aea3cc078b0060001e6a6f8,RETURNED,2020-02-20 09:23:00.379000,,2450531.886886,25,70,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e4ff3551f75288462267d,5d09285a2b420b001a8e43f0,RETURNED,2020-02-20 09:23:49.302000,,2450482.963966,34,98,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e4ff401ea4d28dc2f5ba0,5c13b04c2b16ba0001c90d2a,RETURNED,2020-02-20 09:23:03.742000,,2450528.524004,30,55,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4e4ff675b07e2a72816743,5ba8a1d2c16a9c0001497a21,APPROVED,2020-02-20 09:25:27.499000,2020-02-20 10:22:44.915000,3437.416,27,159,0,100,2020-02-20 15:26:51.480000,228C6F99,Belgium,Belgium,Full-Time,Dutch,"English, Dutch, French",Belgium,Male,No
5e4e4ff909345f000abcf734,5c34e402b96e660001cb5ce6,APPROVED,2020-02-20 09:27:03.563000,2020-02-20 10:20:21.890000,3198.327,38,141,0,100,2020-02-20 15:26:52.146000,228C6F99,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
